,city,year,company,car_name,name,model,price,kms_driven,owner,fuel_type,car_link
0,Pune,2021,Nissan,MAGNITE  ,Nissan MAGNITE  ,,963799,16049,1,Petrol,https://www.cars24.com/buy-used-nissan-magnite-2021-cars-mumbai-10351699795/
1,Pune,2014,Volkswagen,Vento  ,Volkswagen Vento  ,Manual,513399,41569,1,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2014-cars-mumbai-10371992797/
2,Pune,2020,Tata,Tiago  ,Tata Tiago  ,Manual,680399,8118,1,Petrol,https://www.cars24.com/buy-used-tata-tiago-2020-cars-pune-1037521668/
3,Pune,2015,Renault,Duster  ,Renault Duster  ,Manual,676799,63143,1,Diesel,https://www.cars24.com/buy-used-renault-duster-2015-cars-mumbai-1034180265/
4,Pune,2020,Maruti,Alto  ,Maruti Alto  ,Manual,395099,2530,1,Petrol,https://www.cars24.com/buy-used-maruti-alto-2020-cars-pune-1240687206/
5,Pune,2021,Toyota,URBAN CRUISER ,Toyota URBAN CRUISER ,,1179699,1961,1,Petrol,https://www.cars24.com/buy-used-toyota-urban-cruiser-2021-cars-pune-1068956060/
6,Pune,2019,Jeep,Compass  ,Jeep Compass  ,Manual,1370199,27193,1,Petrol,https://www.cars24.com/buy-used-jeep-compass-2019-cars-pune-1039376660/
7,Pune,2021,Renault,Kiger  ,Renault Kiger  ,,1096499,2590,1,Petrol,https://www.cars24.com/buy-used-renault-kiger-2021-cars-pune-10604499776/
8,Pune,2021,Hyundai,Creta  ,Hyundai Creta  ,Manual,1794799,2334,1,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-pune-10699593774/
9,Pune,2017,Hyundai,Xcent  ,Hyundai Xcent  ,Manual,618599,13639,1,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-mumbai-1030896565/
10,Pune,2015,Ford,Ecosport  ,Ford Ecosport  ,Manual,662099,51922,1,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2015-cars-mumbai-1032934960/
11,Pune,2015,Toyota,Corolla Altis ,Toyota Corolla Altis ,Automatic,1045899,24242,2,Petrol,https://www.cars24.com/buy-used-toyota-corolla-altis-2015-cars-pune-10613296771/
12,Pune,2018,Maruti,Celerio  ,Maruti Celerio  ,Manual,505999,29583,1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-pune-1066077568/
13,Pune,2014,Volkswagen,Polo  ,Volkswagen Polo  ,Manual,516499,46574,1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-pune-10685493775/
14,Pune,2015,Maruti,Celerio  ,Maruti Celerio  ,Manual,454499,50235,1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-pune-10682299773/
15,Pune,2021,Maruti,S Cross ,Maruti S Cross ,Manual,1076399,6396,1,Petrol,https://www.cars24.com/buy-used-maruti-s-cross-2021-cars-pune-10671694777/
16,Pune,2014,Toyota,Etios  ,Toyota Etios  ,Manual,475799,80847,2,Petrol,https://www.cars24.com/buy-used-toyota-etios-2014-cars-pune-1068160260/
17,Pune,2020,Hyundai,Elite i20 ,Hyundai Elite i20 ,Manual,774999,3806,1,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-pune-1067098804/
18,Pune,2016,Hyundai,Grand i10 ,Hyundai Grand i10 ,Manual,486499,17478,1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-1063935463/
19,Pune,2012,Hyundai,i20  ,Hyundai i20  ,Manual,371099,56711,2,Petrol,https://www.cars24.com/buy-used-hyundai-i20-2012-cars-pune-1060792601/
20,Pune,2020,KIA,SELTOS  ,KIA SELTOS  ,Manual,1384999,18781,1,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-pune-10683797713/
21,Pune,2017,Maruti,Ciaz  ,Maruti Ciaz  ,Manual,643099,60797,2,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-1036250163/
22,Pune,2018,Tata,Tiago  ,Tata Tiago  ,Manual,552199,25710,1,Petrol,https://www.cars24.com/buy-used-tata-tiago-2018-cars-pune-10665797779/
23,Pune,2015,Volkswagen,Polo  ,Volkswagen Polo  ,Automatic,686199,41708,1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2015-cars-pune-10674595773/
24,Pune,2019,Volkswagen,Polo  ,Volkswagen Polo  ,Manual,704799,27487,1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-pune-10607697715/
25,Pune,2019,Maruti,Vitara Brezza ,Maruti Vitara Brezza ,Automatic,967099,33415,2,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-10659894777/
26,Pune,2018,Honda,City  ,Honda City  ,Automatic,1200699,16118,1,Petrol,https://www.cars24.com/buy-used-honda-city-2018-cars-pune-10677594776/
27,Pune,2017,Maruti,Ciaz  ,Maruti Ciaz  ,Manual,794299,21004,1,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-pune-10681199793/
28,Pune,2016,Honda,Amaze  ,Honda Amaze  ,Manual,517099,35472,1,Petrol,https://www.cars24.com/buy-used-honda-amaze-2016-cars-mumbai-1033722364/
29,Pune,2018,Maruti,S Cross ,Maruti S Cross ,Manual,1132999,24233,1,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-pune-10686197773/
30,Pune,2017,Datsun,Redi Go ,Datsun Redi Go ,Manual,284899,18101,1,Petrol,https://www.cars24.com/buy-used-datsun-redi-go-2017-cars-mumbai-10337098798/
31,Pune,2017,Jeep,Compass  ,Jeep Compass  ,Manual,1359799,53928,1,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-pune-1069533865/
32,Pune,2018,Renault,Kwid  ,Renault Kwid  ,Automatic,440299,34507,1,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-pune-1064915864/
33,Pune,2021,Renault,Kwid  ,Renault Kwid  ,Manual,550699,5326,2,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-pune-10668595776/
34,Pune,2020,Tata,NEXON  ,Tata NEXON  ,Manual,1105799,20053,1,Diesel,https://www.cars24.com/buy-used-tata-nexon-2020-cars-mumbai-1035646967/
35,Pune,2021,Volkswagen,Polo  ,Volkswagen Polo  ,Automatic,1056599,6871,1,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2021-cars-pune-10677697772/
36,Pune,2017,Volkswagen,Polo  ,Volkswagen Polo  ,Automatic,724499,18978,2,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2017-cars-pune-10625595714/
37,Pune,2016,Ford,Ecosport  ,Ford Ecosport  ,Manual,672599,41966,1,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-pune-1033542466/
38,Pune,2018,Maruti,Alto 800 ,Maruti Alto 800 ,Manual,350599,8254,2,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-pune-10602698771/
39,Pune,2021,MG,HECTOR  ,MG HECTOR  ,Automatic,1971999,6249,1,Petrol,https://www.cars24.com/buy-used-mg-hector-2021-cars-pune-1061525461/
40,Pune,2019,Hyundai,NEW SANTRO ,Hyundai NEW SANTRO ,Manual,532099,2839,1,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-pune-1060656601/
41,Pune,2016,Mahindra,Scorpio  ,Mahindra Scorpio  ,Manual,834199,143495,1,Diesel,https://www.cars24.com/buy-used-mahindra-scorpio-2016-cars-pune-1067007700/
42,Pune,2019,Maruti,Vitara Brezza ,Maruti Vitara Brezza ,Manual,792199,42955,1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-1068383308/
