,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
0,Ahmedabad,2020, Maruti Ertiga,ZXI Plus SHVS Manual,"₹10,39,099","21,596 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2020-cars-ahmedabad-1143314365/
1,Ahmedabad,2020, Maruti Swift,VXI Manual,"₹5,89,699","20,972 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2020-cars-ahmedabad-11441799712/
2,Ahmedabad,2020, Maruti New  Wagon-R,VXI 1.0 Manual,"₹5,80,599","3,586 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-vadodara-1363266367/
3,Ahmedabad,2020, Maruti Swift,VXI Manual,"₹5,89,699","36,866 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2020-cars-ahmedabad-11482096770/
4,Ahmedabad,2014, Maruti Wagon R .,LXI Manual,"₹3,24,199","17,625 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-ahmedabad-1354551100/
5,Ahmedabad,2020, KIA SELTOS,HTK PLUS 1.5 PETROL Manual,"₹11,96,799","20,061 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2020-cars-surat-13560895779/
6,Ahmedabad,2019, Mahindra XUV,W7 FWD Manual,"₹11,30,799","57,552 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2019-cars-ahmedabad-1140795567/
7,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","6,531 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-vadodara-13634396777/
8,Ahmedabad,2020, Volkswagen Polo,COMFORTLINE PLUS 1.0 Manual,"₹7,22,799","8,269 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-surat-13535093775/
9,Ahmedabad,2018, Mahindra XUV,W9 Manual,"₹10,86,499","47,483 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-surat-13553898792/
10,Ahmedabad,2014, Honda City,VX CVT PETROL Automatic,"₹7,22,199","4,414 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2014-cars-surat-13596993773/
11,Ahmedabad,2020, Volkswagen Polo,GT TSI AT 1.0 Automatic,"₹9,77,499","8,476 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-rajkot-15024797771/
12,Ahmedabad,2019, Maruti Swift,VXI Manual,"₹5,63,799","46,384 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2019-cars-ahmedabad-1147440064/
13,Ahmedabad,2021, KIA SONET,HTX 1.0 IMT ,"₹9,97,299","10,170 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-sonet-2021-cars-rajkot-15092397718/
14,Ahmedabad,2018, Maruti Alto ,LXI Manual,"₹3,36,699","6,118 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-1148083862/
15,Ahmedabad,2021, Renault Kiger,RXZ AMT 1.0 DUAL TONE ,"₹8,67,499","4,126 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kiger-2021-cars-gandhinagar-14226592772/
16,Ahmedabad,2018, Renault Kwid,1.0 RXT Opt Manual,"₹3,60,699","31,436 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-surat-1357170669/
17,Ahmedabad,2018, Volkswagen Polo,COMFORTLINE 1.0 PETROL Manual,"₹5,73,499","26,980 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-ahmedabad-1142194465/
18,Ahmedabad,2019, Maruti Celerio,ZXI Manual,"₹4,57,599","58,517 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-ahmedabad-1147660265/
19,Ahmedabad,2021, Skoda KUSHAQ,STYLE 1.0TSI AT ,"₹17,18,799","14,232 km",1st Owner,Petrol,https://www.cars24.com/buy-used-skoda-kushaq-2021-cars-ahmedabad-11483096770/
20,Ahmedabad,2018, Renault Kwid,1.0 RXT Opt Manual,"₹3,81,799","16,721 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2018-cars-surat-1357700567/
21,Ahmedabad,2016, Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹5,55,599","40,074 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2016-cars-ahmedabad-1145712467/
22,Ahmedabad,2020, Hyundai GRAND I NIOS,SPORTZ PETROL Manual,"₹6,86,399","19,817 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-ahmedabad-11463694779/
23,Ahmedabad,2021, Renault Kwid,1.0 RXT Opt Manual,"₹4,87,699","13,258 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-ahmedabad-11423193719/
24,Ahmedabad,2021, Maruti Baleno,ZETA 1.2 K12 CVT Automatic,"₹10,14,799","3,195 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-vadodara-13625890770/
25,Ahmedabad,2017, Toyota Etios Liva,GD Manual,"₹4,78,999","58,134 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-etios-liva-2017-cars-ahmedabad-2998193100/
26,Ahmedabad,2018, Mahindra XUV,W9 Manual,"₹10,70,099","1,15,157 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-ahmedabad-1141295905/
27,Ahmedabad,2018, Maruti Celerio,ZXI Manual,"₹4,36,499","71,188 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2018-cars-surat-1351153469/
28,Ahmedabad,2020, Hyundai NEW I,ASTA (O) 1.0 TURBO GDI AT Automatic,"₹10,25,899","12,542 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-i20-2020-cars-ahmedabad-11480399776/
29,Ahmedabad,2017, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹5,23,099","7,807 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1146048505/
30,Ahmedabad,2021, Mahindra Thar,LX PETROL AT 4WD Automatic,"₹16,14,899","3,624 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-rajkot-15073793710/
31,Ahmedabad,2020, Renault Kwid,Neotech Petrol 1.0 Manual,"₹4,57,999","24,963 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2020-cars-ahmedabad-1140820163/
32,Ahmedabad,2016, Maruti Baleno,SIGMA 1.2 K12 Manual,"₹5,14,199","26,962 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-surat-1354020968/
