,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
0,Bengaluru,2021, KIA SELTOS,GTX 1.4 GDI PETROL Manual,"₹19,89,199","4,257 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2021-cars-bengaluru-10289993793/
1,Bengaluru,2019, Maruti Celerio,VXI Manual,"₹5,61,099","5,382 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-bengaluru-1026486166/
2,Bengaluru,2017, Renault Duster,RXS CVT 106 PS Automatic,"₹8,72,299","31,859 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-renault-duster-2017-cars-bengaluru-1023096963/
3,Bengaluru,2020, Maruti New  Wagon-R,ZXI 1.2 Manual,"₹6,55,599","5,702 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-bengaluru-10245492711/
4,Bengaluru,2012, Maruti Wagon R .,VXI Manual,"₹3,59,799","37,683 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2012-cars-bengaluru-10209498719/
5,Bengaluru,2017, Honda WR-V,1.2 i-VTEC VX MT Manual,"₹7,83,699","43,808 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-bengaluru-1025042167/
6,Bengaluru,2017, Hyundai Grand i,Magna 1.2 AT  VTVT Automatic,"₹5,81,699","12,646 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-bengaluru-10212696776/
7,Bengaluru,2017, Honda City,V MT PETROL Manual,"₹8,87,799","28,310 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2017-cars-bengaluru-1026076365/
8,Bengaluru,2015, Maruti Celerio,VXI Manual,"₹4,49,699","33,689 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-bengaluru-1022910468/
9,Bengaluru,2019, MG HECTOR,SHARP 2.0 DIESEL Manual,"₹18,61,799","20,909 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1029623667/
10,Bengaluru,2018, Mahindra Bolero,Power+ ZLX Micro Hybrid Manual,"₹9,17,899","32,238 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-bolero-2018-cars-bengaluru-10249791717/
11,Bengaluru,2014, Hyundai Xcent,S 1.2 Manual,"₹4,91,099","39,836 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-bengaluru-1024845562/
12,Bengaluru,2019, MG HECTOR,SMART DIESEL Manual,"₹15,30,199","49,501 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1028680563/
13,Bengaluru,2019, MG HECTOR,SHARP 2.0 DIESEL Manual,"₹18,82,799","30,076 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1026496561/
14,Bengaluru,2019, MG HECTOR,SHARP 2.0 DIESEL Manual,"₹19,17,599","26,225 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mg-hector-2019-cars-bengaluru-1022122361/
15,Bengaluru,2015, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹5,22,999","20,067 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-bengaluru-1029006464/
16,Bengaluru,2014, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,60,799","38,596 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bengaluru-1026746762/
17,Bengaluru,2013, Honda Brio,1.2 V MT I VTEC Manual,"₹3,63,799","60,696 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2013-cars-bengaluru-1026467864/
18,Bengaluru,2019, Hyundai NEW SANTRO,1.1 MAGNA MT Manual,"₹5,26,199","11,005 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-bengaluru-1025591463/
19,Bengaluru,2014, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹4,93,499","36,475 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-bengaluru-1029960561/
