,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
0,Chennai,2012, Volkswagen Vento,HIGHLINE DIESEL Manual,"₹5,03,799","54,460 km",1st Owner,Diesel,https://www.cars24.com/buy-used-volkswagen-vento-2012-cars-chennai-1134966224/
1,Chennai,2021, Hyundai Creta,E Manual,"₹13,47,099","12,419 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-chennai-11373192711/
2,Chennai,2021, Tata Harrier,XT 2.0L Kryotec Manual,"₹20,91,999","3,422 km",1st Owner,Diesel,https://www.cars24.com/buy-used-tata-harrier-2021-cars-chennai-11355899779/
3,Chennai,2012, Toyota Etios Liva,D 4D GD Manual,"₹4,12,399","86,154 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-etios-liva-2012-cars-chennai-1132066466/
4,Chennai,2019, Maruti Ertiga,ZXI Plus SHVS Manual,"₹9,81,499","41,054 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-chennai-11361497710/
5,Chennai,2021, Maruti Vitara Brezza,VXI Manual,"₹8,95,099","7,573 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-chennai-11369095793/
6,Chennai,2015, Mercedes Benz C Class,C 200 AVANTGARDE Automatic,"₹22,91,699","40,861 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-mercedes-benz-c-class-2015-cars-chennai-1139103361/
7,Chennai,2012, Honda Brio,1.2 V MT I VTEC Manual,"₹3,75,299","78,914 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2012-cars-chennai-1137825762/
8,Chennai,2020, Maruti Celerio,Tour H2 Manual,"₹4,88,299","7,652 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2020-cars-chennai-1134758962/
9,Chennai,2021, Renault TRIBER,1.0 RXZ Manual,"₹7,39,199","15,952 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2021-cars-chennai-11307395718/
10,Chennai,2021, Tata ALTROZ,XM+ 1.2 RTN ,"₹7,77,899","9,555 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-tata-altroz-2021-cars-chennai-11383797799/
11,Chennai,2022, KIA CARENS,PRESTIGE 1.5G MT 7STR ,"₹14,59,999","4,062 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-carens-2022-cars-chennai-11398799719/
12,Chennai,2020, Hyundai VENUE,S MT 1.2 KAPPA Manual,"₹8,59,099","24,112 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-chennai-11341190718/
13,Chennai,2013, Maruti Ritz,VXI BS IV Manual,"₹3,27,399","56,548 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ritz-2013-cars-chennai-1130053367/
14,Chennai,2021, Renault Kwid,1.0 RXT Opt AT Automatic,"₹5,61,699","14,017 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-chennai-11321395717/
15,Chennai,2021, Renault Kwid,1.0 RXT Opt Manual,"₹4,79,299","4,352 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-chennai-1131542060/
16,Chennai,2018, Maruti Alto ,LXI Manual,"₹3,41,699","7,657 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-chennai-1133356566/
17,Chennai,2016, Maruti Swift,VXI OPT Manual,"₹5,55,171","32,620 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2016-cars-chennai-1138007360/
18,Chennai,2017, Hyundai Xcent,S 1.2 Manual,"₹5,31,299","35,178 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-chennai-11351392773/
19,Chennai,2019, Hyundai Elite i,1.2 MAGNA PLUS VTVT Manual,"₹7,13,399","31,242 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-chennai-11351598775/
20,Chennai,2018, Honda Amaze,1.5 VXMT I DTEC Manual,"₹7,09,799","47,456 km",1st Owner,Diesel,https://www.cars24.com/buy-used-honda-amaze-2018-cars-chennai-11321995798/
21,Chennai,2017, Maruti Swift,VXI OPT Manual,"₹5,62,099","19,953 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2017-cars-chennai-1135870602/
22,Chennai,2019, Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"₹4,38,099","5,310 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2019-cars-chennai-1133817960/
23,Chennai,2020, Tata ALTROZ,XZ 1.2 Manual,"₹7,62,199","29,838 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-altroz-2020-cars-chennai-1132170168/
24,Chennai,2014, Hyundai Xcent,S 1.2 Manual,"₹4,37,599","68,256 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2014-cars-chennai-11308499796/
25,Chennai,2019, Jeep Compass,LIMITED PLUS 2.0 4*4 Manual,"₹22,24,587","34,502 km",1st Owner,Diesel,https://www.cars24.com/buy-used-jeep-compass-2019-cars-chennai-1138108263/
26,Chennai,2017, Maruti Ertiga,ZXI PLUS Manual,"₹8,24,899","47,428 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-chennai-11344490794/
27,Chennai,2015, Maruti Swift,VXI Manual,"₹4,64,899","51,079 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2015-cars-chennai-1130869762/
28,Chennai,2019, Maruti Eeco,5 STR WITH AC PLUSHTR Manual,"₹4,69,699","21,908 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2019-cars-chennai-1138962465/
29,Chennai,2017, Maruti Wagon R .,VXI OPT AMT Automatic,"₹4,94,199","28,852 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-chennai-11370390795/
