,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
0,Gurgaon,2014, Mercedes Benz C Class,C 200 AVANTGARDE Automatic,"₹21,33,299","36,806 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mercedes-benz-c-class-2014-cars-noida-1050064264/
1,Gurgaon,2013, Mercedes Benz E Class,E 250 CDI AVANTGARDE Automatic,"₹14,55,599","42,881 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mercedes-benz-e-class-2013-cars-noida-1002046328/
2,Gurgaon,2021, Renault Kwid,1.0 RXT Opt AT Automatic,"₹5,33,299","3,689 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-ghaziabad-11208998714/
3,Gurgaon,2021, Renault Kwid,1.0 RXT Opt Manual,"₹5,00,199","6,962 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2021-cars-new-delhi-10001590778/
4,Gurgaon,2017, Jeep Compass,2.0 LIMITED Manual,"₹13,18,099","55,376 km",1st Owner,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-new-delhi-1006334663/
5,Gurgaon,2016, Honda Jazz,1.2 SV PETROL Manual,"₹4,76,799","30,237 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2016-cars-gurgaon-10081592777/
6,Gurgaon,2016, Maruti Wagon R .,VXI AMT Automatic,"₹4,33,799","21,261 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-noida-10018991779/
7,Gurgaon,2020, Maruti Baleno,ZETA 1.2 K12 AMT Automatic,"₹7,38,299","16,815 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-new-delhi-10534091798/
8,Gurgaon,2020, Honda City,ZX CVT Automatic,"₹14,56,371","9,928 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-noida-1000483868/
9,Gurgaon,2016, Ford Ecosport,1.5 TITANIUM TI VCT Manual,"₹6,49,099","46,533 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-new-delhi-1001862968/
10,Gurgaon,2018, Hyundai Elite i,Magna Executive Diesel Manual,"₹6,69,299","30,545 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-noida-1127940067/
11,Gurgaon,2018, Hyundai Elite i,Magna Executive 1.2 Manual,"₹5,62,119","44,805 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-gurgaon-10152697778/
12,Gurgaon,2017, Renault Kwid,RXT Manual,"₹3,26,599","52,904 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2017-cars-new-delhi-1008200565/
13,Gurgaon,2013, Hyundai i,SPORTZ 1.4 CRDI Manual,"₹3,54,299","78,468 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-noida-1122747361/
14,Gurgaon,2018, Ford Ecosport,1.5 TITANIUM TI VCT Manual,"₹7,95,499","28,648 km",1st Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-noida-1125720867/
15,Gurgaon,2020, Honda City,VX CVT PETROL Automatic,"₹12,62,499","31,686 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2020-cars-ghaziabad-1126630364/
16,Gurgaon,2020, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,94,199","21,463 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-new-delhi-10027293717/
17,Gurgaon,2014, Toyota Fortuner,SPORTIVO 4X2 MT Manual,"₹12,11,899","1,75,407 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-fortuner-2014-cars-noida-1006895309/
18,Gurgaon,2018, Ford Ecosport,1.5 TDCI TITANIUM PLUS Manual,"₹8,58,399","32,303 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-noida-1127650967/
19,Gurgaon,2014, Audi Q,2.0 TDI MT S EDITION Manual,"₹11,36,799","93,819 km",1st Owner,Diesel,https://www.cars24.com/buy-used-audi-q3-2014-cars-noida-1000438024/
20,Gurgaon,2019, Maruti Alto K,VXI Manual,"₹4,10,899","13,274 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2019-cars-noida-1050344669/
21,Gurgaon,2016, Maruti Vitara Brezza,ZDI PLUS Manual,"₹7,12,399","36,642 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-noida-1001714969/
22,Gurgaon,2020, Maruti S PRESSO,VXI Manual,"₹4,56,099","11,396 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-s-presso-2020-cars-noida-1126975367/
23,Gurgaon,2015, Audi A,2.0 TDI TECHNOLOGY Automatic,"₹19,95,599","77,157 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-audi-a6-2015-cars-noida-1051344862/
24,Gurgaon,2015, Audi A,35 TDI S LINE Automatic,"₹19,01,999","39,292 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-audi-a6-2015-cars-noida-1053297861/
25,Gurgaon,2017, Hyundai Elite i,1.4 CRDI ASTA (O) Manual,"₹6,73,199","65,773 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-noida-10582093793/
26,Gurgaon,2017, Hyundai Elite i,1.4 CRDI ASTA (O) Manual,"₹6,34,899","85,704 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-new-delhi-1008646465/
27,Gurgaon,2014, Hyundai Elite i,ASTA 1.4 CRDI Manual,"₹4,59,599","72,470 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-noida-1006254469/
28,Gurgaon,2017, Ford Ecosport,1.5 TREND+ TDCI Manual,"₹6,43,199","78,596 km",1st Owner,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-gurgaon-1010092862/
29,Gurgaon,2013, Maruti Swift,VDI Manual,"₹3,33,399","1,03,732 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2013-cars-noida-1002127047/
30,Gurgaon,2015, Toyota Fortuner,3.0 AT 4X2 Automatic,"₹15,77,799","90,086 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-toyota-fortuner-2015-cars-noida-1058882461/
31,Gurgaon,2018, Honda Jazz,1.2 SV MT Manual,"₹6,01,299","23,733 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2018-cars-noida-1126093064/
32,Gurgaon,2019, Hyundai Grand i,MAGNA 1.2 VTVT Manual,"₹5,11,199","16,327 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2019-cars-noida-10007395799/
33,Gurgaon,2020, Maruti Baleno,SIGMA 1.2 K12 Manual,"₹5,58,599","35,669 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2020-cars-noida-1056896765/
34,Gurgaon,2014, Hyundai i,MAGNA 1.1 IRDE2 Manual,"₹3,40,499","32,525 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-noida-1012206064/
35,Gurgaon,2020, Mahindra XUV,W9 AT Automatic,"₹17,41,699","19,362 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2020-cars-noida-1051866368/
36,Gurgaon,2021, Maruti Alto,LXI Manual,"₹4,22,999","2,303 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2021-cars-noida-11226192795/
37,Gurgaon,2017, Hyundai Elite i,ASTA 1.2 Manual,"₹6,10,399","35,255 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-noida-1125505064/
38,Gurgaon,2015, Honda Brio,1.2 VX AT I VTEC Automatic,"₹4,58,999","25,981 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2015-cars-noida-1002146828/
39,Gurgaon,2020, Mahindra Scorpio,S9 Manual,"₹15,73,999","25,596 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mahindra-scorpio-2020-cars-ghaziabad-11222390798/
40,Gurgaon,2019, MG HECTOR,SHARP DCT PETROL Automatic,"₹16,93,899","25,758 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mg-hector-2019-cars-noida-1003552064/
41,Gurgaon,2014, Maruti Swift,VXI Manual,"₹4,01,299","61,754 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2014-cars-noida-1010420026/
42,Gurgaon,2021, Maruti Vitara Brezza,VXI Manual,"₹9,31,299","7,702 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-vitara-brezza-2021-cars-noida-1015086861/
43,Gurgaon,2017, Hyundai Elite i,ASTA 1.2 DUAL TONE Manual,"₹6,45,799","11,042 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-noida-1000366560/
44,Gurgaon,2018, Hyundai Creta,1.4 E PLUS CRDI Manual,"₹8,24,999","65,694 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-noida-1010779164/
45,Gurgaon,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹5,85,599","31,879 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-noida-1103086102/
46,Gurgaon,2017, Honda City,V MT PETROL Manual,"₹7,78,999","26,236 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2017-cars-noida-1007061067/
47,Gurgaon,2013, Hyundai i,ERA 1.4 CRDI Manual,"₹3,27,599","32,925 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-noida-1005491848/
48,Gurgaon,2015, Hyundai Elite i,MAGNA 1.4 CRDI Manual,"₹4,28,399","53,672 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-noida-1128650337/
49,Gurgaon,2018, Maruti Dzire,VXI Manual,"₹6,42,499","19,063 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-noida-1003350362/
50,Gurgaon,2019, Maruti Vitara Brezza,VDI Manual,"₹7,93,399","30,594 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-noida-1018637466/
51,Gurgaon,2018, Hyundai NEW SANTRO,ERA 1.1 Manual,"₹3,80,699","50,981 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2018-cars-noida-10052596775/
52,Gurgaon,2017, Maruti Alto K,VXI Manual,"₹3,50,499","47,808 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-noida-1006070062/
53,Gurgaon,2013, Maruti Swift,LXI Manual,"₹3,35,899","99,646 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2013-cars-noida-1019746822/
54,Gurgaon,2013, Honda Amaze,1.5 SMT I DTEC Manual,"₹2,92,599","73,241 km",1st Owner,Diesel,https://www.cars24.com/buy-used-honda-amaze-2013-cars-noida-1003678909/
