,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
0,Kolkata,2015, Hyundai Elite i,ASTA 1.2 Manual,"₹4,46,299","1,06,265 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2015-cars-kolkata-1190962547/
1,Kolkata,2013, Maruti Alto ,LXI Manual,"₹2,52,299","4,525 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2013-cars-kolkata-11922596770/
2,Kolkata,2020, Maruti New  Wagon-R,VXI 1.0 Manual,"₹5,69,499","6,845 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-north-24-parganas-28628392771/
3,Kolkata,2016, Maruti Alto ,VXI Manual,"₹2,80,399","2,152 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-kolkata-1195683262/
4,Kolkata,2019, Honda City,VX MT PETROL Manual,"₹10,68,299","5,413 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2019-cars-kolkata-11925094713/
5,Kolkata,2020, Maruti New  Wagon-R,VXI 1.0 Manual,"₹5,69,499",819 km,1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-new--wagon-r-2020-cars-kolkata-1190476763/
6,Kolkata,2014, Hyundai i,SPORTZ 1.1 IRDE2 Manual,"₹3,42,699","15,744 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-kolkata-1262674362/
7,Kolkata,2019, Ford Figo Aspire,1.2 Trend+ Petrol Manual,"₹5,78,399","8,807 km",1st Owner,Petrol,https://www.cars24.com/buy-used-ford-figo-aspire-2019-cars-kolkata-1197376363/
8,Kolkata,2020, Volkswagen Polo,Trendline 1.0 L Petrol Manual,"₹5,83,739","24,157 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-kolkata-11950490772/
9,Kolkata,2018, Volkswagen Polo,COMFORTLINE 1.0 PETROL Manual,"₹5,29,199","13,682 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2018-cars-kolkata-1196074764/
10,Kolkata,2015, Maruti Alto K,VXI Manual,"₹3,04,899","14,421 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-howrah-17070293798/
11,Kolkata,2019, Maruti Alto ,VXI Manual,"₹2,91,899","53,341 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-north-24-parganas-2861714062/
12,Kolkata,2019, Hyundai NEW SANTRO,SPORTZ 1.1 Manual,"₹4,71,699","10,872 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-kolkata-2116606865/
13,Kolkata,2014, Maruti Swift,VXI Manual,"₹3,88,999","37,285 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2014-cars-kolkata-1192010609/
14,Kolkata,2018, Hyundai Grand i,ASTA 1.2 KAPPA VTVT Manual,"₹4,85,699","17,529 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-hooghly-2114563363/
15,Kolkata,2018, Hyundai Elite i,Magna Executive 1.2 Manual,"₹5,09,299","37,685 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-kolkata-1191424649/
16,Kolkata,2018, Maruti Alto K,VXI Manual,"₹3,07,099","43,769 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2018-cars-kolkata-1195578845/
17,Kolkata,2014, Maruti Wagon R Stingray,VXI Manual,"₹3,20,499","36,923 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-stingray-2014-cars-kolkata-11917497798/
18,Kolkata,2018, Maruti Swift,VXI Manual,"₹5,37,899","21,668 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2018-cars-kolkata-1192708242/
19,Kolkata,2014, Honda City,VX CVT PETROL Automatic,"₹6,03,499","34,687 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2014-cars-kolkata-1195920060/
20,Kolkata,2016, Volkswagen Vento,HIGHLINE PETROL Manual,"₹5,31,699","24,788 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2016-cars-howrah-12692494794/
21,Kolkata,2019, Maruti Dzire,VXI Manual,"₹6,95,465","16,653 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-howrah-12624891799/
22,Kolkata,2018, Ford Ecosport,1.5 TITANIUM TI VCT Manual,"₹7,46,599","17,127 km",1st Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-kolkata-17001194710/
23,Kolkata,2014, Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹3,93,999","75,282 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-kolkata-1197749504/
24,Kolkata,2018, Hyundai Creta,1.6 SX AT CRDI Automatic,"₹12,37,299","37,362 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-kolkata-11928994776/
25,Kolkata,2017, Hyundai Grand i,MAGNA 1.2 VTVT Manual,"₹4,18,099","25,032 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-kolkata-1191523306/
26,Kolkata,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹5,15,399","43,927 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-kolkata-1193877043/
27,Kolkata,2013, Maruti Swift Dzire,VXI 1.2 BS IV Manual,"₹3,51,899","64,056 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-kolkata-1197187500/
28,Kolkata,2015, Maruti Alto ,LXI Manual,"₹2,52,899","50,939 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-kolkata-1193924565/
29,Kolkata,2018, Hyundai Xcent,E PLUS Manual,"₹4,77,504","14,107 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-xcent-2018-cars-kolkata-1195756063/
30,Kolkata,2019, Maruti Baleno,DELTA 1.2 K12 Manual,"₹6,24,899","3,057 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-kolkata-1195122007/
31,Kolkata,2018, Maruti Baleno,DELTA 1.2 K12 Manual,"₹5,34,299","27,019 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-kolkata-1195267506/
32,Kolkata,2014, Maruti Alto ,LXI Manual,"₹2,45,499","50,468 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-kolkata-1198930361/
33,Kolkata,2016, Maruti Vitara Brezza,ZDI PLUS DUAL TONE Manual,"₹6,49,299","95,285 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2016-cars-kolkata-1197839648/
34,Kolkata,2014, Hyundai Grand i,SPORTZ 1.2 KAPPA VTVT Manual,"₹3,58,099","66,617 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-kolkata-1197843944/
35,Kolkata,2018, Hyundai NEW SANTRO,SPORTZ 1.1 Manual,"₹4,66,699","12,893 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2018-cars-kolkata-1199918567/
