,City,Year,Name,Car model,Car Price,KM,Owner,Car Type,Car link
0,Mumbai,2015, Mercedes Benz CLA Class,CLA 200 CDI SPORT Automatic,"₹19,42,999","19,670 km",1st Owner,Diesel,https://www.cars24.com/buy-used-mercedes-benz-cla-class-2015-cars-mumbai-1066218842/
1,Mumbai,2014, Maruti Wagon R .,LXI Manual,"₹3,58,899","13,712 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-mumbai-1032390163/
2,Mumbai,2018, Maruti Swift,VDI AMT Automatic,"₹6,88,999","53,119 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-2018-cars-mumbai-10334496792/
3,Mumbai,2019, Renault TRIBER,1.0 RXZ Manual,"₹7,26,499","7,440 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-mumbai-10321597791/
4,Mumbai,2020, Maruti Celerio X,ZXI OPT AMT Automatic,"₹6,57,599","4,613 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-x-2020-cars-mumbai-10310992775/
5,Mumbai,2016, Maruti Celerio,VXI AMT Automatic,"₹4,22,999","9,836 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-mumbai-1031262068/
6,Mumbai,2012, Maruti Swift Dzire,VDI BS IV Manual,"₹4,61,299","1,34,186 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-mumbai-1039689947/
7,Mumbai,2014, Maruti Ritz,VXI Manual,"₹4,07,299","58,849 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ritz-2014-cars-mumbai-1032814060/
8,Mumbai,2019, Mahindra XUV,W11 (O) AT Automatic,"₹16,83,899","29,100 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-mahindra-xuv500-2019-cars-mumbai-1036496465/
9,Mumbai,2020, KIA SONET,GTX PLUS 1.5 DCT AT ,"₹15,08,299","10,769 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-sonet-2020-cars-mumbai-1031512266/
10,Mumbai,2020, Honda Amaze,1.2 EMT I VTEC Manual,"₹6,42,299","11,596 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2020-cars-mumbai-1038637569/
